id,text,id,category
1325774333504070000,Great job by the #Pfizer #vaccine scientists who look to have come up with a viable candidate. Fingers crossed that they hit their long-term efficacy endpoints(s) and the safety outcomes don't put the kibosh on it. #Pharma https://t.co/94b0EErqsp,1332370853242302464,1
1326167342338940000,"The coronavirus is 90% effective but they don’t have a clue about long term effects of the vaccine. Yeah , no thanks. 👎🏼👋🏼",1326178944077492227,0
1325997637640870000,Bother is Profs.of different sections who tell public all about Stats re coronavirus how its dealt with.Their boring of little interest.I am not criticising just to do it. It is facts people will understand.Rushed vaccines aren’t answer. Scientists know it but will they admit it. https://t.co/c4kq10ZENn,1325774333504073728,2
1325892752467480000,"They say the vaccine will be tested on animals, then I won’t take it.   Never, leave animals alone. Test it on humans they are the ones who have the COVID-19 https://t.co/7m4hL4JSm3",1327983297549438976,1
1325895792054420000,"I don’t care who tf you voted for. If this goes through the proper scientific/medical procedures, like every other vaccine we take, and is backed by science and scientists don’t fight it. We all should be happy with this news. https://t.co/ZCo9kyZ1Df",1325699765930254336,1
1329215336344800000,"This is the vaccine that's so unstable that it has to be kept at super sub-zero temperatures, right?  If the dissemination of the vaccine is supervised by any Trump admin functionaries, thanks but no thanks, I'll wait for the Moderna vaccine. https://t.co/MUBBODsm9E",1325940903563964416,0
1329207129752860000,"Worried about hypothetical long-term effects of a vaccine? You know what has real long-term effects, including death? COVID-19",1325897334018859008,1
1329054427685240000,"""It's pretty amazing,"" one immunologist said. Pfizer and BioNTech reported that their coronavirus vaccine is 95 percent effective. https://t.co/bpdOMN4DzS",1329084876570521600,2
1334464827666870000,They'll not get the same vaccine as everyone else. https://t.co/euodxe9lrP,1325869389518921728,1
1336077180095370000,"South Korea has been a leader in mitigating #COVID19 #SARSCoV2 #coronavirus spread. But as with any virus, without the elimination threshold, you are always a few weeks away from trouble. The ABCs of prevention and the #vaccine need to go hand in hand to beat this #pandemic. https://t.co/g0OByFs1jS",1325878740598083585,2
1325796807738310000,I’m only gonna take the vaccine because if my great great grandkids die of COVID-19 it will be 100% my fault,1325979285937532928,0
1325819898421860000,While we have been fighting and struggling (and also helping each other and coping) ...scientists have been hard at work for us. 👩🏻‍🔬👨🏽‍🔬   https://t.co/8Wj2wiK7B3 😃❤️😃❤️😃❤️ #ibelieveinscience #covid19 #vaccine #goodnews,1325697646909132800,0
1325863550821130000,Good news coming out of @immunitybio  and @NantKwest for #COVID19 #vaccine but overshadowed by #Pfizer data released on same day. Timing and Perception is all important when delivering news. https://t.co/FDxoY7NI1D,1328846029081481217,0
1325887886953200000,Over my dead fucking body will I take a vaccine or anything else from this administration. HELL NO https://t.co/YVoLEuonDf,1329059141189419008,2
1325863291298730000,"Good news 
Very good night 

Leaders hail Pfizer announcement in Covid-19 vaccine development

https://t.co/DpqziRQtrx… https://t.co/ddVItXlhN7",1325863291298734080,2
1329677231128450000,".@Bishopoftyler: ""Moderna vaccine is not morally produced"" #COVID19 #coronavirus #bioethics #Vatican #CatholicChurch https://t.co/92fTn2qSkS",1325782991113777155,0
1325979285937530000,"Sounds about right.

Don't take any vaccines! https://t.co/3GLDa4EoUr",1326764180955930624,1
1326227476654280000,To travel is the reason why you're so so happy that vaccine for coronavirus is out. https://t.co/TnQ5AhlNDM,1326202940886048770,0
1325897334018850000,"These Dems balked at a coronavirus vaccine under Trump. Will they change their tune now? https://t.co/MWdCFqhwIQ #FoxNews 
I TRUST TRUMP, I DON'T TRUST THE DEMOCRATS.",1325884864374059009,0
1335789264605500000,"This is an outstanding initiative and one that is urgently needed in Ontario's #LTC sector in anticipation of the arrival of the #COVID19 vaccine:

cc @DrFullertonMPP @AdvantAgeOnt @OLTCAnews @allan_k_grillMD @NoahIvers @DrSamirSinha @BogochIsaac @LisaLevin1 @DLDunc416 @OnLTCC https://t.co/lSZXpirRhV",1325798847340113921,2
1325884864374050000,"@macroaggressio3 You hear vaccine and warp speed negative combo, look at the MMR vaccine doing to our children. Covid-19 vaccine changes your DNA LAMININ cross Protein 🙏",1326140795255103488,2
1325690517724780000,Care homes to be FIRST to receive coronavirus vaccine that could roll out before Christmas https://t.co/V71edGrw7F,1325720167867965440,1
1326137706003500000,Happy vaccine day! https://t.co/xNgxRH9gNQ,1334464827666870272,0
1325689685943990000,The Philippine government is in talks with Anglo-Swedish drugmaker AstraZeneca to procure doses of its prospective COVID-19 vaccine. | @DYGalvezINQ https://t.co/dVTpgOZT9h,1325919313300127750,2
1326130735154040000,"Tiny bottle holds hope for humanity's future with 10million coronavirus vaccines coming
https://t.co/gJ7tUSEwY2",1329677231128457216,0
1332370853242300000,U.S. officials plan to release 6.4 million COVID-19 vaccine doses in first distribution https://t.co/qdxfDKZOR4,1325816245783044096,2
1325682517148560000,Coronavirus: Some Canadians hesitant to take a COVID-19 vaccine – Global News https://t.co/pOgrnxWbGL,1335025765528702976,1
1326103263779970000,Good news from @pfizer and @BioNTech_Group about a possible #COVID19 vaccine candidate. Kudos to everyone on this #WorldScienceDay who work tireless to help combat the pandemic👏 https://t.co/7NCujdV0Dh,1325863550821130241,2
1325699765930250000,"Hospitals are reportedly being prepped for a possible coronavirus vaccine roll out within three weeks. 

@Drhilaryjones says it is optimistic to think many people will be vaccinated before Christmas - but it is good news. 

Watch GMB for the latest👉https://t.co/fzcHkA6S4k https://t.co/OEMR7IaZTW",1326820897949413376,1
1334612064346760000,Why's @twitter censorship of #tweets of #ToriesOut happening after once again @Conservatives was caught lying about #COVID19 vaccine where's the fact checker you used on @realDonaldTrump? In #Elections2020 #ToriesEnemyOfThePeople #ToryScum #NoMoreCoverUps,1333785957527482368,1
1325684180483600000,"Moderna on track to report late-stage COVID-19 vaccine data next month: The vaccine is currently being tested in a large human trial, and Moderna was in talks with a WHO-led group for distribution. https://t.co/CJGuw7rDzj JPost https://t.co/QPAhjvDm76",1325803573490409474,2
1325720167867960000,Zambia in talks with Russia on accessing Sputnik V coronavirus vaccine https://t.co/2DmTlKLSWX,1326106718519128064,1
1325770677580910000,Q&amp;A: Where are we in the COVID-19 vaccine race? https://t.co/s12BAAIuMB,1326056909888249857,0
1325768441370800000,"Pfizer says its coronavirus vaccine is more than 90 percent effective compared to a placebo, and has no major side effects. Study involved 44,000 people.  https://t.co/UH4zVj2OT6",1329054427685249027,2
1332442660540350000,Had a chat to a bloke from Orange (now in New York) who was the ‘first’ to question the Oxford-AstraZeneca vaccine. The world followed. https://t.co/CUouDEF5Qq,1329215336344809472,2
1329051184896800000,"Fuck yes. 
That's 2 effective vaccines in under 12 months. Science is grand. https://t.co/NgC09StldK",1329048936309395458,2
1325813439567150000,"""Inject this straight into my veins.""
—me to Pfizer executives when the COVID-19 vaccine is available",1326130735154044933,2
1325868962131950000,Imagine if the new covid19 vaccine has a side effect of making people infertile? #DepopulationAgenda,1329207129752866819,2
1326094031978420000,Very hopeful about this # Covid-19 vaccine! https://t.co/LQW4juYtiA,1325819898421862400,2
1335025765528700000,Bahrain becomes second nation to approve Pfizer-BioTech coronavirus vaccine https://t.co/8OgQ7XK0SV via @SBSNews,1326042563116085248,1
1325775621428040000,"I stand with every true Englishman when I say ‘Keep your filthy Euro-immigrant vaccine out of my veins, Mr Barnier.’ https://t.co/vvrPufOaOs",1334313027513028611,2
1325887498254420000,#BidenHarris election and now perhaps the solution to the covid plague.. let’s finish this 2020 with a hope we had lost! #Covid_19 #Pfizer #Pfizervaccine #hope https://t.co/M4tiZ1q1KC,1334468009956691968,1
1331281532456210000,Investors are encouraged by the latest progress on developing coronavirus vaccines and news that the transition of power to President-elect Joe Biden will finally begin. https://t.co/hds8Vp4wc3,1325795777441132544,0
1326194656342840000,"My mother is angry because I refuse to vaccine my son. We lived in New York right around the time coronavirus entered the US, we even went to ChinaTown in Manhattan, and he never got sick because I feed him a healthy diet. 

No vaccine. #weGood #weEatGood",1325923306676101127,2
1329104213176160000,@LeahButlerSmith We dont need a vaccine we have regeneron as a treatment https://t.co/5hK6ERl6nM,1326137706003501057,2
1326106718519120000,"👇👇Not a good practice, not good for public trust in vaccines ...  However, ""scientific"" press releases seem to be good for the stock market 🤷🏻‍♀️ https://t.co/qZaNZNhWLs",1326174248583507968,0
1326131087081310000,Coronavirus vaccine testing timeline: What’s next in Covid-19 fight https://t.co/7ZB20jeLBk,1325895792054427648,2
1325798847340110000,"I wonder what the logistics of a Covid-19 vaccine are. Will nations share the vaccines across borders or will they prioritise their citizens?
Either way, this sounds like good news!
https://t.co/tDGsA9Iryu",1336077180095377408,2
1326056909888240000,i ain’t takin no vaccine man https://t.co/6U4hTISMzQ,1326211412566355973,1
1325878740598080000,"Best news of the year so far, well at least for the last 34 weeks! One of the many vaccines against #COVID19 being developed and looking extremely positive. We can start to see the light for 2021!!",1332442660540350464,0
1334598251253810000,"Presidents Obama, Bush &amp; Clinton are volunteering to get their Covid-19 vaccines on TV with a National Broadcast to promote public confidence in the vaccine's safety. Sort of like the Super Bowl of Vaccine Game. 
What Musical Group should perform at 1/2 Time. Who shud announce?",1325809259184054275,0
1326017679191380000,"Thank God, GOOD NEWS COME
Pfizer vaccine trial success tells Covid 19 pandemic battle end soon https://t.co/xTHB46uJEj via 
#SecondLockdown #CovidVaccine #coronavirus #COVID19 #BiharElection2020 #Bihar #d",1325690517724782593,1
1329048936309390000,"Some light of hope... 

#coronavirus 
#CoronavirusVaccine 
 Pfizer and BioNTech say their vaccine is '95% effective' and has passed safety checks  https://t.co/xBrvgiaKSG",1334598251253813249,1
1332776067837380000,"I knew the opposition's shrieking over the vaccine was just another manufactured scandal, meant to  distract. https://t.co/Oybiis4qST",1326103263779971072,2
1325786301472280000,"Effective at WHAT? Is it full of poison and heavy metals like ALL the other “vaccines” you make?
No thanks.
Pretty sure I can survive the common cold on my own, thanks tho ... https://t.co/VSxOuuJoVO",1325868962131955713,0
1325836809859860000,I am curious if my Niece will be able to even have a covid19 vaccine because she has allergies. If she isnt able to we still gotta protect her somehow.,1325786301472280576,0
1325940903563960000,"If it's true that Pfizer have developed a vaccine for COVID, then I hope that I am the Pfirst to Pfuckin get it!
#Pfizervaccine #COVID19 #vaccine #funny #comical #justsaying #gusman",1326041513252409344,0
1334313027513020000,"RT SecAzar: RT @HHS_ASH: It's not too late to get your #FluVaccine.  The #flu vaccine protects you, your loved ones, &amp; your community from flu. It also helps protect essential workers &amp; save medical resources for care of #COVID19 patients. Visit https://t.co/UfdSmmM2Nq to find …",1325857058554597377,0
1325858822087430000,"@itvnews The #coronavirus ""vaccine"" has been approved by Nazi butcher Josef Mengele, and the UK's press are pushing it, as well as pushing the #CashlessSociety plan for #GreatReset. ITN are as guilty as Boris in this crime against humanity. https://t.co/5",1325846283949535235,0
1326041513252400000,"Why would any Nation force an untested, no liability vaccine on its people for a virus with a 99.74% recovery rate?

It simply doesn't make sense for public health

It only makes sense if the motive is profit https://t.co/H9BYXQoghJ",1332776067837386752,1
1325867175400320000,"Anti-Vaxxers, in replies got me rolling, like how are you so stupid to not believe in vaccines. Need natural selection. https://t.co/75D1RCH7c4",1329051184896806919,2
1326764180955930000,What a COVID-19 vaccine would mean for mortgage rates and the housing market https://t.co/O3IMUru8U6,1325995603298578440,0
1325770986571090000,"More good news!!! I could get used to this 
Covid-19 vaccine candidate is 90% effective, says manufacturer https://t.co/wtpyAh71pU",1326094031978422272,2
1325869389518920000,GBP/USD pushing against 1.3200 amid upbeat COVID-19 vaccine reports https://t.co/GKWcVY2BLA #GBPUSD #Currencies,1331281532456210433,1
1328846029081480000,I’m not an anti-vax but I’m nervous to get EllaMae her regular vaccination with this Covid-19 vax coming out since they’ve slipped shit in without telling me before,1325781714938044421,0
1329092054836670000,"Dolly Parton’s $1 million donation helped fund Moderna’s COVID-19 vaccine 
https://t.co/tszIxxevKc",1325887498254422016,2
1325923306676100000,Good News: Pfizer COVID-19 vaccine 90 p.c efficient in part 3 https://t.co/mL1vidmoEf,1329074574219067401,0
1325804703834380000,"is this the vaccine approved by trump and pence?

i can't take my chances when i'm dead, so i'll stay alive.
thanx anyway, tho. https://t.co/QKcDw3FQv6",1325682517148569600,0
1329084876570520000,I am going to drink the Coronavirus vaccine,1326215130544295939,2
1325697646909130000,"This is why thinking that a vaccine is a panacea is a dangerous idea.

You can outsmart evolution at your own peril. https://t.co/WJXen4MfTV https://t.co/3yx5Bf9hTh",1325887886953209856,0
1326820897949410000,SCIENCE FRAUD: Covid-19 vaccines were manufactured and stockpiled by the military long before they were tested and “approved” | Truth11 https://t.co/dynrPQAlIo,1325892752467488770,0
1325782126365700000,"Fucking people with check marks in here complaining that it's ""only"" 90% effective. Read some fucking science before you say stupid shit to undermine a vaccine. Flu shots are like 40% effective. Measles vaccine is an incredible 95% and that virus is extremely communicable. https://t.co/zjyk5MSTNT",1325836809859862535,2
1325919313300120000,"This is what I call a good news week... ""Pfizer’s COVID-19 vaccine was declared to be 90 per cent effective"" https://t.co/M71zS0besy",1325867175400321025,2
1326042563116080000,Trump says Pfizer withheld announcement on COVID-19 vaccine before election https://t.co/Bzh3sFFSMW https://t.co/kxa7LyeOjK,1325770986571096064,2
1329092066148630000,Nah fr fuck that shit I don’t want no flu shot coronavirus vaccine none of that ‼️‼️ https://t.co/WhfJAig7N1,1329104213176164353,0
1325827860997800000,"They can have their vaccine, I want the right to say no- not in my body. We will only have that right under Donald J Trump https://t.co/MrfDSMm6JB",1326194656342847488,0
1325803573490400000,"great news! but it's not going to be available for widespread administration for several months likely so keep wearing masks, social distancing, and avoiding gatherings. we also are going to have to deal with the anti-vaxxers who won't even consider taking this vaccine :/ https://t.co/JRjxda0H8P",1333023729908113408,0
